strategy,universe_size,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,beats_baseline,verdict
baseline_tc15_tighter_volume_cap,1,5,0.07655792414979784,0.8,0.015311584829959568,-0.02115350000000003,0.03350860520477453,8.0,2,0.05309738507134665,1.0,0.026548692535673324,False,BASELINE
cs_baseline_mb60_top2,9,14,-0.09009666621049475,0.2857142857142857,-0.006435476157892482,-0.08408750012004865,0.01448073454009064,6.142857142857143,6,-0.03629009860132285,0.3333333333333333,-0.006048349766887142,False,KILL
cs_tc15_cap_top2,9,23,-0.17433854881015143,0.21739130434782608,-0.007579936904789192,-0.1832613417434199,0.011932107230212936,5.869565217391305,15,-0.15163878686993976,0.13333333333333333,-0.010109252457995984,False,KILL
cs_tc15_cap_top3,9,28,-0.22999621888118116,0.21428571428571427,-0.008214150674327899,-0.22788760793753943,0.011163929867153371,5.607142857142857,17,-0.18187957133569277,0.11764705882352941,-0.01069879831386428,False,KILL
cs_tc15_cap_or_mb60_top3,9,44,-0.3655252677345893,0.22727272727272727,-0.008307392448513393,-0.31630305032184597,0.011398656011849933,5.454545454545454,23,-0.22447012029358793,0.17391304347826086,-0.009759570447547302,False,KILL
cs_baseline_or_tc15_top3,9,46,-0.3771283379028657,0.21739130434782608,-0.008198442128323168,-0.3242408754291863,0.011057399354343264,5.760869565217392,24,-0.24739040178814928,0.16666666666666666,-0.010307933407839554,False,KILL
cs_union_strong60_top3,9,103,-0.7976851595811076,0.21359223300970873,-0.007744516112437938,-0.5477998378920156,0.012862672095616649,6.058252427184466,60,-0.6036257287200514,0.15,-0.010060428812000857,False,KILL
