strategy,universe_size,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,beats_baseline,verdict
baseline_tc15_tighter_volume_cap,1,5,0.07655792414979784,0.8,0.015311584829959568,-0.02115350000000003,0.03350860520477453,8.0,2,0.05309738507134665,1.0,0.026548692535673324,False,BASELINE
leader_pullback_15,9,66,-0.5770449806332514,0.09090909090909091,-0.008743105767170476,-0.4366521961730075,0.005972560053176353,2.878787878787879,36,-0.2973607518198016,0.1111111111111111,-0.008260020883883378,False,KILL
rotation_emerge_15,9,122,-0.9355269091161522,0.20491803278688525,-0.007668253353411084,-0.6057839543788444,0.00827273901155006,2.959016393442623,71,-0.4454413402123615,0.22535211267605634,-0.006273821693131852,False,KILL
breadth_thrust_15,9,143,-1.0443580647132773,0.25874125874125875,-0.007303203249743198,-0.6470682995256057,0.009294934883610917,2.5314685314685317,75,-0.5804411115109861,0.25333333333333335,-0.0077392148201464814,False,KILL
leader_breakout_15,9,157,-1.1211348321596928,0.25477707006369427,-0.007140986192099954,-0.6938145435884,0.010174614592353026,3.0191082802547773,94,-0.7605337364371332,0.22340425531914893,-0.008090784430182268,False,KILL
persistence_breakout_15,9,252,-1.9839952191881336,0.20634920634920634,-0.007872996901540212,-0.8643242611296165,0.00929745906639509,3.3174603174603177,133,-1.0677865534623483,0.18796992481203006,-0.008028470326784574,False,KILL
higher_low_leader_15,9,278,-2.138913086963226,0.18345323741007194,-0.007693931967493618,-0.8833906170028175,0.007235301942130161,3.183453237410072,159,-1.2284247339869612,0.18238993710691823,-0.007725941723188435,False,KILL
