construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,label,scenario
tc15_tighter_volume_cap,GIGAUSD,511,1770370200,0.0022760339000000005,523,1770382800,0.0023710822136809506,TAKE_PROFIT,0.038660500000000014,0.046117986203983746,12,40.92228249541571,0.02196962621179078,-0.005762411347517726,0.1309941777031398,1.0214285714285674,baseline_tc15_tighter_volume_cap,baseline_taker_ref
tc15_tighter_volume_cap,GIGAUSD,1141,1771146000,0.0025097562,1143,1771149600,0.0024644463164433003,STOP_LOSS,-0.021153499999999964,0.004480036746198533,2,83.54002720326018,0.005737711142647974,-0.0008003201280513267,0.009630343854095067,0.6648793565683683,baseline_tc15_tighter_volume_cap,baseline_taker_ref
tc15_tighter_volume_cap,GIGAUSD,1850,1772037000,0.0022248758,1861,1772046900,0.0022450188,TREND_LOST,0.005953539078450944,0.029270937281083195,11,66.76339219954748,0.011703816571990842,0.0004508566275924855,0.033234486720168065,0.39493670886076365,baseline_tc15_tighter_volume_cap,baseline_taker_ref
tc15_tighter_volume_cap,GIGAUSD,3481,1774692000,0.0018296544000000004,3484,1774694700,0.0019060616825712002,TAKE_PROFIT,0.03866049999999991,0.05484401862996624,3,37.255891511776454,0.008194561322655182,-0.005512679162072782,-0.03963118915989884,0.7239488117001839,baseline_tc15_tighter_volume_cap,baseline_taker_ref
tc15_tighter_volume_cap,GIGAUSD,3640,1774850400,0.0021436247,3652,1774862100,0.0021812171999999997,TIME_LIMIT,0.014436885071346517,0.032830047162639896,12,36.867825043121265,0.004922413531219063,0.003267973856208977,0.02013646582476686,0.4840764331210142,baseline_tc15_tighter_volume_cap,baseline_taker_ref
trend8__score43__vwapna__closena__compna__hold8_t30_s10,GIGAUSD,764,1770369900,0.0022609874,764,1770369900,0.0022314385556694003,STOP_LOSS,-0.016168999999999864,0.0,0,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,trend8__score43__vwapna__closena__compna__hold8_t30_s10,taker_ref
trend8__score43__vwapna__closena__compna__hold8_t30_s10,GIGAUSD,764,1770369900,0.0022562539999999996,769,1770371400,0.0023216176783799995,TAKE_PROFIT,0.027969999999999953,0.032241937299612666,5,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_fill_now
trend8__score43__vwapna__closena__compna__hold8_t30_s10,GIGAUSD,764,1770369900,0.0022551258729999997,769,1770371400,0.0023204568695408094,TAKE_PROFIT,0.027969999999999856,0.032758316457841545,5,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_5bps_ttl1
trend8__score43__vwapna__closena__compna__hold8_t30_s10,GIGAUSD,764,1770369900,0.0022539977459999994,769,1770371400,0.0023192960607016197,TAKE_PROFIT,0.02797000000000015,0.0332752125121249,5,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_10bps_ttl1
trend8__score43__vwapna__closena__compna__hold8_t30_s10,GIGAUSD,764,1770369900,0.0022539977459999994,769,1770371400,0.0023192960607016197,TAKE_PROFIT,0.02797000000000015,0.0332752125121249,5,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_10bps_ttl2
trend8__score43__vwapna__closena__compna__hold8_t30_s10,GIGAUSD,764,1770369900,0.002252869619,769,1770371400,0.00231813525186243,TAKE_PROFIT,0.02797000000000005,0.033792626238970995,5,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_15bps_ttl2
trend8__score43__vwapna__closena__compna__hold8_t30_s10,GIGAUSD,764,1770369900,0.002251741492,769,1770371400,0.0023169744430232403,TAKE_PROFIT,0.027970000000000144,0.03431055841644538,5,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_20bps_ttl3
trend8__score43__vwapna__closena__compna__hold8_t30_s10,GIGAUSD,764,1770369900,0.0022524215237999996,769,1770371400,0.0023192981712631456,TAKE_PROFIT,0.029391000000000108,0.033998288238165496,5,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_opt_10bps_ttl2
