construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,label,cost_model
tc15_tighter_volume_cap,GIGAUSD,511,1770370200,0.0022760339000000005,523,1770382800,0.0023710822136809506,TAKE_PROFIT,0.038660500000000014,0.046117986203983746,12,40.92228249541571,0.02196962621179078,-0.005762411347517726,0.1309941777031398,1.0214285714285674,baseline_tc15_tighter_volume_cap,taker_like
tc15_tighter_volume_cap,GIGAUSD,1141,1771146000,0.0025097562,1143,1771149600,0.0024644463164433003,STOP_LOSS,-0.021153499999999964,0.004480036746198533,2,83.54002720326018,0.005737711142647974,-0.0008003201280513267,0.009630343854095067,0.6648793565683683,baseline_tc15_tighter_volume_cap,taker_like
tc15_tighter_volume_cap,GIGAUSD,1850,1772037000,0.0022248758,1861,1772046900,0.0022450188,TREND_LOST,0.005953539078450944,0.029270937281083195,11,66.76339219954748,0.011703816571990842,0.0004508566275924855,0.033234486720168065,0.39493670886076365,baseline_tc15_tighter_volume_cap,taker_like
tc15_tighter_volume_cap,GIGAUSD,3481,1774692000,0.0018296544000000004,3484,1774694700,0.0019060616825712002,TAKE_PROFIT,0.03866049999999991,0.05484401862996624,3,37.255891511776454,0.008194561322655182,-0.005512679162072782,-0.03963118915989884,0.7239488117001839,baseline_tc15_tighter_volume_cap,taker_like
tc15_tighter_volume_cap,GIGAUSD,3640,1774850400,0.0021436247,3652,1774862100,0.0021812171999999997,TIME_LIMIT,0.014436885071346517,0.032830047162639896,12,36.867825043121265,0.004922413531219063,0.003267973856208977,0.02013646582476686,0.4840764331210142,baseline_tc15_tighter_volume_cap,taker_like
freqai_mtf_adaptive_union,GIGAUSD,140,1769899500,0.0024756508000000005,150,1769905500,0.0024543678,TREND_LOST,-0.011696931360432743,0.001756790578057083,10,37.95744238092123,0.013425455459936762,0.009255533199195004,-0.01748314675554021,0.9688888888888848,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,180,1769941200,0.0025227965,182,1769942700,0.00247725119338725,STOP_LOSS,-0.02115350000000003,0.0,2,46.71315417880626,0.006374459443692989,0.009936406995230464,0.008023284538582268,1.7033492822966503,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,245,1769985300,0.0024636136,247,1769985900,0.0024334329,TREND_LOST,-0.015350581828254283,0.0,2,70.31973205791056,0.0026533444153788825,0.0069161920260374645,0.005577587082183308,1.451737451737452,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,288,1770024600,0.0024295082000000004,295,1770031500,0.0023935569,TREND_LOST,-0.017897768536035526,0.0,7,41.95703168527732,0.00550092386089273,0.004952538175815047,0.013612171334325405,1.4658385093167652,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,299,1770034200,0.0024606043,310,1770039000,0.0024573585000000004,TREND_LOST,-0.004419106855173605,0.017229791884863406,11,39.443701350287384,0.01076452552698655,0.0020341741253052195,0.021467356434952203,0.9741379310344889,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,319,1770045600,0.0025518864,331,1770049500,0.0025700082,TIME_LIMIT,0.004001334918356915,0.011408658316451738,12,27.923929424923948,0.012657116698586603,0.005473025801407398,0.05347632012144192,1.375745526838958,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,764,1770369900,0.0022609874,776,1770375600,0.0023018420999999997,TIME_LIMIT,0.014969406313365434,0.030080928358999205,12,43.370377632528424,0.01598940899155502,0.00709849157054124,0.12118548089494646,0.8126410835214416,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,827,1770399300,0.0025308213000000005,836,1770402000,0.0025201632,TREND_LOST,-0.007311320649150795,0.01587575543164563,9,46.59379791975749,0.018824105706451155,0.005154639175257728,0.17154050640723742,1.6044568245125306,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,1145,1770649500,0.0023602943000000003,1156,1770654000,0.0023656437,TREND_LOST,-0.0008335877140407105,0.016822351348304104,11,31.696239390524873,0.010426700600844127,0.0029661016949152803,0.031099809213043065,1.0645161290322547,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,1169,1770659700,0.00240744,1172,1770661200,0.0023855817,TREND_LOST,-0.01217947861628938,0.0031402651779484456,3,24.117740701033306,0.004824429789267683,0.0029093931837074235,0.031561870348301865,1.0196078431372602,giga_5m_freqai_mtf_adaptive_union,taker_like
freqai_mtf_adaptive_union,GIGAUSD,1404,1770820800,0.0021937797000000005,1405,1770821400,0.0021541742981860505,STOP_LOSS,-0.021153500000000002,0.0,1,36.673507495845854,0.002984215602624432,0.010963910461397967,-0.005790709551128997,0.9960474308300373,giga_5m_freqai_mtf_adaptive_union,taker_like
