pair,interval,strategy,trades_full,net_full,avg_full,win_full,pf_full,dd_full,mfe_full,sharpe_full,bars_full,trades_recent,net_recent,avg_recent,win_recent,pf_recent,dd_recent,mfe_recent,sharpe_recent,score,verdict
GIGAUSD,60,momentum_breakout,9,0.09759355961283356,0.010843728845870395,0.6666666666666666,2.80193239746371,-0.03578107113774999,0.034202749917380974,1.2647829330860967,3.074485739647254,8,0.09732551453865879,0.012165689317332348,0.625,2.796983309582786,-0.01805350000000022,0.03487906813328043,1.2665629017630722,0.2562296607516827,KEEP
GIGAUSD,30,momentum_breakout_trail,44,0.1331185539548685,0.0030254216807924657,0.5227272727272727,1.366111701813635,-0.09841458315404805,0.0212878696629616,0.6603246491691336,2.385286271290786,24,0.032673718981125144,0.001361404957546881,0.5833333333333334,1.1809827400843338,-0.07863413759342812,0.019968364950502738,0.28996367159487735,0.18873237891824754,KEEP
GIGAUSD,60,volume_spike_trend,40,0.023443501196020677,0.0005860875299005169,0.475,1.0790473484197936,-0.15752255322930636,0.018622567375051285,0.21325687482105968,2.5284994789857587,20,0.10671878028756077,0.005335939014378038,0.65,2.130848496358614,-0.07678091850376201,0.019759555249722227,1.4306326514814842,0.18565424037557243,KEEP
GIGAUSD,30,triple_confluence,13,0.045449961909363235,0.0034961509161048642,0.46153846153846156,1.4680966641645548,-0.03578107113775006,0.024372569077777236,0.5690164310796553,4.332002083695086,9,0.07344696332763723,0.008160773703070803,0.5555555555555556,2.256420252841681,-0.018053500000000215,0.029890632010634688,1.0125212514066455,0.16131057121161563,KEEP
GIGAUSD,15,triple_confluence,17,0.07477787880978426,0.004398698753516721,0.47058823529411764,1.7186332217368934,-0.056303869011221454,0.017979928384479,0.8657366829554364,3.8748461620953614,9,0.038554040759757546,0.004283782306639727,0.5555555555555556,1.828864532751992,-0.028374942051209787,0.018502875344886444,0.6891311448162465,0.14126630677897495,KEEP
GIGAUSD,30,atr_squeeze_expand,12,0.04269413407492395,0.0035578445062436626,0.5,1.5410245266358926,-0.029898712056160074,0.021220186168231254,0.6529511135533863,3.5553047404063203,10,0.049566865040458374,0.004956686504045837,0.5,1.776293323055083,-0.02989871205616017,0.02272307686676609,0.7913023221053954,0.12357394277114538,KEEP
GIGAUSD,60,triple_confluence,7,0.06322527959693058,0.009032182799561512,0.5714285714285714,2.67036629221038,-0.01976615876385903,0.030888898392776008,1.029446890872141,3.816602987148315,5,0.019474091421978423,0.0038948182843956845,0.4,1.5144914516799584,-0.01805350000000011,0.03239005374775354,0.34390395243386007,0.10273088563861962,KEEP
GIGAUSD,15,momentum_breakout,9,0.0210126850702802,0.002334742785586689,0.5555555555555556,1.4092246841270484,-0.0328123076499645,0.017507736733057142,0.37578624555793927,3.125888628449615,7,0.04570980405399194,0.006529972007713135,0.7142857142857143,2.7151618837155613,-0.018053499999999906,0.019171369495058092,0.9106102798338757,0.09333525360684751,KEEP
GIGAUSD,15,atr_squeeze_expand,10,0.023042876414298252,0.0023042876414298254,0.4,1.463825660511529,-0.04518510638164549,0.01450370547692419,0.46955896893784604,5.009045924125358,7,0.03973236348631859,0.005676051926616942,0.5714285714285714,2.20435586658504,-0.015062800000000086,0.019334738257315687,0.8513840139834211,0.0873370113331546,KEEP
DOGUSD,60,bb_squeeze_breakout,6,0.022316115474835696,0.0037193525791392825,0.5,1.4938461081789949,-0.015062800000000083,0.03887501160054729,0.3969025210582794,1.3328702095635059,2,0.03571301547483596,0.01785650773741798,1.0,inf,0.0,0.03441554263381208,1.2814149732516162,0.07985466389767243,KEEP
COQUSD,30,red_streak_reversal,6,0.011306999999999956,0.0018844999999999927,0.5,1.2883923789119296,-0.013068999999999982,0.01202157940627265,0.2817982481424657,1.1210279562424033,4,0.03744499999999973,0.009361249999999932,0.75,3.865177136735767,-0.01306899999999992,0.017685079693526395,1.2520480155147573,0.07029248248142421,KEEP
GIGAUSD,30,breakout_asymmetric,5,0.011743907201797854,0.0023487814403595707,0.2,1.2611492765758163,-0.018756774938422448,0.030623730102865565,0.17188626396946274,3.4130925507900676,3,0.03788190720179796,0.01262730240059932,0.3333333333333333,3.01156120075058,-0.01306899999999992,0.039691531645063304,0.5702355395204368,0.07028563064418943,KEEP
HYPEUSD,60,bb_squeeze_breakout,6,0.013206665489706282,0.002201110914951047,0.5,1.2922578690483901,-0.029898712056160005,0.024107579749299817,0.2682136335660699,3.6666666666666665,6,0.013206665489706282,0.002201110914951047,0.5,1.2922578690483901,-0.029898712056160005,0.024107579749299817,0.2682136335660699,0.03569880005992641,KEEP
DOGUSD,15,atr_squeeze_expand,14,0.00954742997456881,0.0006819592838977721,0.5,1.1010870361769214,-0.04451264945171321,0.014838813898191115,0.15020126082429233,3.326181588183498,9,0.013969733735431311,0.0015521926372701457,0.4444444444444444,1.2171843133439122,-0.019072302001883527,0.015144069064062342,0.2383535128994249,0.0320040431859587,KEEP
COQUSD,15,momentum_breakout_trail,56,-0.17509383100424347,-0.0031266755536472047,0.23214285714285715,0.7697985448435465,-0.3446478174170023,0.027466854251791083,-0.43628270557031346,1.5834242803814813,24,0.19797708691015148,0.008249045287922979,0.2916666666666667,1.6551484262514913,-0.13932334237212018,0.027623454478256232,0.5048673846632296,0.11750897230528061,KILL
GIGAUSD,30,rsi_momentum_thrust,52,-0.02469548058039328,-0.0004749130880844862,0.36538461538461536,0.9378726927832498,-0.15219808137436433,0.017585443436786037,-0.1935637978821689,3.0028650807431845,22,0.07034418579831325,0.0031974629908324208,0.5,1.548662199028621,-0.038381602783633686,0.016660802845586745,0.8276909392651194,0.0788851601382549,KILL
DOGUSD,60,triple_confluence,5,-0.014444853164679916,-0.0028889706329359834,0.4,0.7332954244388457,-0.03578107113774995,0.016139775498453045,-0.2734307899877071,2.3991663772143106,2,0.03971564683532014,0.01985782341766007,1.0,inf,0.0,0.03565393962797481,1.2460742782396974,0.04239430918842322,KILL
COQUSD,30,rsi_oversold_trend,1,0.01683800000000013,0.01683800000000013,1.0,inf,0.0,0.02385308247136564,0.0,0.7473519708282689,1,0.01683800000000013,0.01683800000000013,1.0,inf,0.0,0.02385308247136564,0.0,0.04209500000000033,KILL
SOLUSD,60,macd_trend_long,1,0.026807000000000247,0.026807000000000247,1.0,inf,0.0,0.04113024800117193,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026807000000000247,KILL
COQUSD,15,macd_trend_long,3,-0.0033185999999999494,-0.0011061999999999832,0.3333333333333333,0.8898411981836062,-0.01506280000000003,0.13270099449911518,-0.0792599916885189,2.3718783459212314,2,0.011744199999999982,0.005872099999999991,0.5,1.779682396367206,-0.015062800000000136,0.19905149174867276,0.28049333887431904,0.013505100083114835,KILL
SOLUSD,60,volume_climax_reversal,5,0.01184495907317662,0.002368991814635324,0.6,1.3931858310930434,-0.015062800000000098,0.017017558182595715,0.3251681715717195,2.2,2,-0.006768240926823155,-0.0033841204634115774,0.5,0.5506651534360719,-0.015062800000000081,0.010074902990388157,-0.2897691004200749,0.0049442793986590825,KILL
GIGAUSD,15,momentum_accel,113,-0.12229449997646824,-0.0010822522121811348,0.36283185840707965,0.8714208620589372,-0.29300228434421627,0.015240044589964813,-0.6068334818744081,3.187961098515957,58,0.08800824344008895,0.0015173835075877405,0.4482758620689655,1.204316514935953,-0.059931393936315594,0.018198390695825847,0.592702799703935,0.0036495303649211053,KILL
GIGAUSD,15,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,15,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,15,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,30,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,30,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,30,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,60,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,60,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,60,vwap_reclaim_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
GIGAUSD,60,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,15,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,15,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,15,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,30,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,30,vwap_reclaim_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,30,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,60,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,60,vwap_reclaim_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
DOGUSD,60,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,15,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,15,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,15,deep_vwap_pullback,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,15,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,30,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,30,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,30,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,30,breakout_asymmetric,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,60,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
SOLUSD,60,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,15,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,15,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,15,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,15,breakout_asymmetric,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,30,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,30,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,30,vwap_reclaim_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,30,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,60,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,60,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,60,vwap_reclaim_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,60,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
COQUSD,15,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
COQUSD,30,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
COQUSD,60,macd_trend_long,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
COQUSD,60,rsi_oversold_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
COQUSD,60,red_streak_reversal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
COQUSD,60,vwap_reclaim_trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
COQUSD,60,dip_buy_confluence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KILL
HYPEUSD,30,momentum_breakout,6,-0.0009784134204090522,-0.0001630689034015087,0.3333333333333333,0.982636881588524,-0.055261733723346904,0.01684152068344465,-0.01655251737725887,3.1666666666666665,6,-0.0009784134204090522,-0.0001630689034015087,0.3333333333333333,0.982636881588524,-0.055261733723346904,0.01684152068344465,-0.01655251737725887,-0.0026115587247952194,KILL
GIGAUSD,30,volume_climax_reversal,14,-0.0052010919652623055,-0.0003715065689473075,0.42857142857142855,0.9453288567252452,-0.03146591828794054,0.01519288758696973,-0.0943390008214219,2.4988713318284423,7,0.00219328563465504,0.0003133265192364343,0.42857142857142855,1.0453901740374112,-0.018147932940522506,0.015687357379693685,0.05173841452193688,-0.0028545535214939645,KILL
GIGAUSD,60,volume_climax_reversal,10,-0.01782593612470118,-0.001782593612470118,0.5,0.7633117863252367,-0.02989871205616004,0.011321787072667334,-0.37907150191217764,1.622056269538034,5,0.009557429715291832,0.0019114859430583663,0.6,1.3172527589588856,-0.015062800000000154,0.014250599157892197,0.26525044208698756,-0.00728050657088521,KILL
HYPEUSD,60,atr_squeeze_expand,2,-0.003220354492949107,-0.0016101772464745534,0.5,0.7862047897503024,0.0,0.013497353454156036,-0.11969244034979022,3.5,2,-0.003220354492949107,-0.0016101772464745534,0.5,0.7862047897503024,0.0,0.013497353454156036,-0.11969244034979022,-0.009247810635870669,KILL
GIGAUSD,60,momentum_accel,54,-0.06793182980096113,-0.001257996848165947,0.37037037037037035,0.8727803853913962,-0.23058847262371804,0.02294514357982374,-0.4328305735401982,2.4030463252415317,29,0.04107132633043842,0.0014162526320840834,0.4827586206896552,1.1705466001492244,-0.12397593764507422,0.024190280520258366,0.36147270549952526,-0.010653146040705486,KILL
COQUSD,15,vwap_reclaim_trend,1,-0.013068999999999886,-0.013068999999999886,0.0,0.0,0.0,0.0,0.0,10.399774285962323,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013068999999999886,KILL
COQUSD,30,vwap_reclaim_trend,1,-0.013068999999999886,-0.013068999999999886,0.0,0.0,0.0,0.0,0.0,6.7261677374544195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013068999999999886,KILL
DOGUSD,60,breakout_asymmetric,1,-0.013068999999999997,-0.013068999999999997,0.0,0.0,0.0,0.004821561097106741,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013068999999999997,KILL
COQUSD,15,rsi_oversold_trend,1,-0.013068999999999997,-0.013068999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013068999999999997,KILL
SOLUSD,60,deep_vwap_pullback,2,0.006759699999999702,0.003379849999999851,0.5,1.4487678253710885,-0.015062800000000258,0.014641201305399143,0.18326270899246314,1.5,1,-0.015062800000000154,-0.015062800000000154,0.0,0.0,0.0,0.0007663231087964295,0.0,-0.014001872910075897,KILL
COQUSD,60,bb_squeeze_breakout,1,-0.015062799999999932,-0.015062799999999932,0.0,0.0,0.0,0.020311213641467374,0.0,4.53108718304967,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015062799999999932,KILL
COQUSD,30,macd_trend_long,1,-0.015062800000000043,-0.015062800000000043,0.0,0.0,0.0,0.0035512164123328027,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015062800000000043,KILL
DOGUSD,30,macd_trend_long,1,-0.015062800000000154,-0.015062800000000154,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015062800000000154,KILL
SOLUSD,30,momentum_breakout,2,-0.00583844050398985,-0.002919220251994925,0.5,0.6766034007815752,0.0,0.012827251611768675,-0.19288795374485607,5.0,2,-0.00583844050398985,-0.002919220251994925,0.5,0.6766034007815752,0.0,0.012827251611768675,-0.19288795374485607,-0.016524980797423185,KILL
DOGUSD,15,bb_squeeze_breakout,5,-0.014532972085165574,-0.002906594417033115,0.2,0.6862787327948966,-0.029898712056159887,0.01102639657108968,-0.31996551933850537,2.4214601961975863,4,0.0005298279148344687,0.00013245697870861717,0.25,1.0169481630218329,-0.01506279999999997,0.012851157967108062,0.011985151829542328,-0.016937885406298925,KILL
DOGUSD,60,red_streak_reversal,5,-0.005530999999999953,-0.0011061999999999906,0.4,0.8589282526079538,-0.025967201239,0.015154491193667362,-0.15100286184208422,0.7997221257381035,3,-0.009299999999999864,-0.003099999999999955,0.3333333333333333,0.6441961894559697,-0.025967201239000003,0.013189227986281823,-0.3109639883639223,-0.02099102861842059,KILL
GIGAUSD,30,momentum_breakout,16,-0.005266605786407363,-0.0003291628616504602,0.4375,0.9599327908523856,-0.08490900372766064,0.021251378952215585,-0.06409339096399126,3.2531038374717833,13,-0.010160029152460281,-0.0007815407040354063,0.46153846153846156,0.9095656264055617,-0.06808467032334317,0.0213219848820097,-0.13086596018356075,-0.021147583424737697,KILL
GIGAUSD,30,deep_vwap_pullback,8,0.0021536740150486233,0.0002692092518810779,0.375,1.0340158564349047,-0.061785717752115644,0.014763161260058555,0.04160169949301598,2.4531602708803613,7,-0.019668825984951233,-0.002809832283564462,0.2857142857142857,0.6893439042899364,-0.04743745870509884,0.011718262983384202,-0.4275367292258341,-0.026933547967448065,KILL
COQUSD,60,triple_confluence,5,-0.030453500000000022,-0.0060907000000000044,0.2,0.5782881435732674,-0.03578107113774995,0.015872458480685792,-0.5091366569699418,0.0,3,0.005653499999999867,0.0018844999999999557,0.3333333333333333,1.156576287146533,-0.018053500000000024,0.02506999517333286,0.09451800581803389,-0.02706461656969964,KILL
COQUSD,60,momentum_breakout,5,-0.030453500000000133,-0.006090700000000027,0.2,0.5782881435732665,-0.03578107113774995,0.02389267118542122,-0.5091366569699436,0.906217436609934,3,0.005653499999999867,0.0018844999999999557,0.3333333333333333,1.156576287146533,-0.018053500000000024,0.02506999517333286,0.09451800581803389,-0.02706461656969977,KILL
COQUSD,15,bb_squeeze_breakout,6,-0.003784976632786652,-0.0006308294387977753,0.3333333333333333,0.9294310145907072,-0.03809289469618363,0.030456689993182,-0.07564319431984955,5.291113233208901,1,-0.015062800000000043,-0.015062800000000043,0.0,0.0,0.0,0.09804533482436328,0.0,-0.027135608575985213,KILL
DOGUSD,60,momentum_breakout,5,-0.030211742733862623,-0.006042348546772524,0.4,0.44218124400878006,-0.03578107113775018,0.01655152920223264,-0.8060510629848882,1.9993053143452588,3,0.005895257266137488,0.0019650857553791625,0.6666666666666666,1.3265437320263347,0.0,0.025670701206162994,0.1898274202966129,-0.029429367464505272,KILL
HYPEUSD,60,bb_lower_bounce,3,-0.01129380000000002,-0.003764600000000007,0.3333333333333333,0.5679164434922327,-0.013068999999999944,0.02021892230403477,-0.404604273247067,0.3333333333333333,3,-0.01129380000000002,-0.003764600000000007,0.3333333333333333,0.5679164434922327,-0.013068999999999944,0.02021892230403477,-0.404604273247067,-0.03228054273247072,KILL
DOGUSD,15,vwap_reclaim_trend,1,-0.013068999999999997,-0.013068999999999997,0.0,0.0,0.0,0.0,0.0,0.9313308446913795,1,-0.013068999999999997,-0.013068999999999997,0.0,0.0,0.0,0.0,0.0,-0.03267249999999999,KILL
HYPEUSD,60,breakout_asymmetric,1,-0.013069000000000108,-0.013069000000000108,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.013069000000000108,-0.013069000000000108,0.0,0.0,0.0,0.0,0.0,-0.03267250000000027,KILL
GIGAUSD,60,atr_squeeze_expand,4,-0.008304566920343537,-0.002076141730085884,0.5,0.7243352192041451,-0.029898712056159814,0.01717286658534878,-0.26841361095982347,3.100989927058006,3,-0.014560861861414032,-0.004853620620471344,0.3333333333333333,0.5166615150764083,-0.015062799999999968,0.013299754050403253,-0.47541731220864175,-0.03282999582206282,KILL
