label,cost_model,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent,branch,mask,exit
giga5_union::trend_t009__hold8_t30_s10,maker_optimistic,16,0.13356639837654102,0.625,0.008347899898533814,-0.02108170359100005,0.017852023839346504,4.9375,8,0.05639370343687304,0.5,0.00704921292960913,giga5_union,trend_t009,hold8_t30_s10
giga5_union::trend_t008__score_43__hold8_t30_s10,maker_optimistic,11,0.12721786085161788,0.7272727272727273,0.011565260077419807,-0.010596999999999981,0.019726774342210953,4.454545454545454,7,0.08512792464423184,0.7142857142857143,0.01216113209203312,giga5_union,trend_t008,score_43__hold8_t30_s10
giga5_union::trend_t009__hold8_t35_s12,maker_optimistic,16,0.1178771698254539,0.6875,0.007367323114090869,-0.025034130707039942,0.020407303621326707,5.9375,8,0.056145889776526924,0.625,0.0070182362220658654,giga5_union,trend_t009,hold8_t35_s12
giga5_union::trend_t008__hold8_t35_s12,maker_optimistic,16,0.11438847486618467,0.6875,0.007149279679136542,-0.025034130707039883,0.02019585670114667,5.9375,8,0.05219257563179271,0.625,0.006524071953974089,giga5_union,trend_t008,hold8_t35_s12
giga5_union::trend_t008__shared_default,maker_optimistic,16,0.11091697632668564,0.6875,0.006932311020417852,-0.03094778037975014,0.021172743233293823,7.8125,8,0.05543574380948742,0.625,0.006929467976185927,giga5_union,trend_t008,shared_default
baseline_tc15_tighter_volume_cap,maker_optimistic,5,0.11086452854374788,0.8,0.022172905708749576,-0.015279678758242961,0.03640156141248547,8.0,2,0.06733759673462,1.0,0.03366879836731,baseline_tc15_tighter_volume_cap,baseline,baseline
giga5_union::trend_t008__score_43__shared_default,maker_optimistic,11,0.10580092933357685,0.7272727272727273,0.009618266303052441,-0.015595500000000059,0.02353932721665707,7.0,7,0.07103124380948742,0.7142857142857143,0.010147320544212487,giga5_union,trend_t008,score_43__shared_default
giga5_union::base__hold8_t30_s10,maker_optimistic,36,0.1012190520412411,0.4444444444444444,0.002811640334478919,-0.0351500443160927,0.011889030691726974,4.777777777777778,12,0.07544902030297629,0.5,0.006287418358581358,giga5_union,base,hold8_t30_s10
giga5_union::trend_t008__hold12_t35_s12,maker_optimistic,16,0.09998666816817371,0.6875,0.006249166760510857,-0.025034130707039973,0.021172743233293823,7.75,8,0.04443904380948756,0.625,0.005554880476185945,giga5_union,trend_t008,hold12_t35_s12
giga5_union::trend_t009__shared_default,maker_optimistic,16,0.09905787753887527,0.6875,0.006191117346179704,-0.03094778037974992,0.020887253639677743,7.8125,8,0.055917440842260246,0.625,0.006989680105282531,giga5_union,trend_t009,shared_default
giga5_union::score_43__hold8_t30_s10,maker_optimistic,21,0.09812444529814228,0.47619047619047616,0.00467259263324487,-0.021708937225093514,0.013798204572768194,3.9523809523809526,10,0.08972565773679066,0.6,0.008972565773679065,giga5_union,score_43,hold8_t30_s10
giga5_union::score_43__shared_default,maker_optimistic,20,0.09445786443501555,0.5,0.004722893221750778,-0.028060809271324094,0.01686287576458671,6.3,10,0.09000526917309508,0.6,0.009000526917309508,giga5_union,score_43,shared_default
