interval,strategy,trades_full,net_full,avg_full,win_full,pf_full,dd_full,mfe_full,sharpe_full,bars_full,trades_recent,net_recent,avg_recent,win_recent,pf_recent,dd_recent,mfe_recent,sharpe_recent,top_pairs_full,top_pairs_recent,score,verdict
15,dispersion_expansion_leader,32,0.02921976682020233,0.0009131177131313228,0.46875,1.149939359821991,-0.06692388817335763,0.029333816281804335,0.3198442984140632,3.59375,32,0.02921976682020233,0.0009131177131313228,0.46875,1.149939359821991,-0.06692388817335763,0.029333816281804335,0.3198442984140632,"SOLUSD:8,HYPEUSD:8,GIGAUSD:6","SOLUSD:8,HYPEUSD:8,GIGAUSD:6",0.14024786003464645,KEEP
60,leader_rotation_breakout,8,-0.03493481586702196,-0.004366851983377745,0.25,0.5022944999512181,-0.06472025750892364,0.012067996140786852,-0.7638917006085019,2.625,8,-0.03493481586702196,-0.004366851983377745,0.25,0.5022944999512181,-0.06472025750892364,0.012067996140786852,-0.7638917006085019,"SOLUSD:3,HYPEUSD:2,DOGUSD:2","SOLUSD:3,HYPEUSD:2,DOGUSD:2",-0.07897595667363992,KILL
15,leader_rotation_breakout,11,-0.08084376880363431,-0.007349433527603119,0.18181818181818182,0.14293014897793477,-0.06453830046742619,0.008490796890301834,-2.6045395894689056,2.4545454545454546,11,-0.08084376880363431,-0.007349433527603119,0.18181818181818182,0.14293014897793477,-0.06453830046742619,0.008490796890301834,-2.6045395894689056,"SOLUSD:4,GIGAUSD:4,DOGUSD:1","SOLUSD:4,GIGAUSD:4,DOGUSD:1",-0.20615481790377485,KILL
15,leader_persistence_trail,27,-0.1027707079245086,-0.0038063225157225406,0.4074074074074074,0.5395542402150052,-0.14408037964933282,0.0129898628227209,-1.5176356394732013,2.962962962962963,27,-0.1027707079245086,-0.0038063225157225406,0.4074074074074074,0.5395542402150052,-0.14408037964933282,0.0129898628227209,-1.5176356394732013,"HYPEUSD:11,GIGAUSD:6,DOGUSD:5","HYPEUSD:11,GIGAUSD:6,DOGUSD:5",-0.21810312620600353,KILL
30,leader_rotation_breakout,7,-0.08885734565954517,-0.012693906522792167,0.14285714285714285,0.01681243793158047,-0.07167062554701185,0.0025663953710784526,-5.3585805545609375,1.8571428571428572,7,-0.08885734565954517,-0.012693906522792167,0.14285714285714285,0.01681243793158047,-0.07167062554701185,0.0025663953710784526,-5.3585805545609375,"SOLUSD:2,DOGUSD:2,COQUSD:1","SOLUSD:2,DOGUSD:2,COQUSD:1",-0.2617291696944723,KILL
60,leader_laggard_catchup,17,-0.11351645906136842,-0.006677438768315789,0.17647058823529413,0.33655663449095125,-0.11690681007084745,0.011098233770215552,-2.155374663362928,1.1176470588235294,17,-0.11351645906136842,-0.006677438768315789,0.17647058823529413,0.33655663449095125,-0.11690681007084745,0.011098233770215552,-2.155374663362928,"DOGUSD:5,GIGAUSD:4,COQUSD:3","DOGUSD:5,GIGAUSD:4,COQUSD:3",-0.27134489428705033,KILL
30,leader_persistence_trail,30,-0.14452700531182627,-0.004817566843727542,0.3,0.5002827089185967,-0.20589177980904164,0.012283676797792128,-1.6667567819333604,2.0,30,-0.14452700531182627,-0.004817566843727542,0.3,0.5002827089185967,-0.20589177980904164,0.012283676797792128,-1.6667567819333604,"GIGAUSD:9,HYPEUSD:7,COQUSD:6","GIGAUSD:9,HYPEUSD:7,COQUSD:6",-0.3179850810988993,KILL
60,dispersion_expansion_leader,19,-0.13876466624811556,-0.007303403486742925,0.21052631578947367,0.343890678939687,-0.14862311480782486,0.015329876411675977,-2.210054243900559,2.3684210526315788,19,-0.13876466624811556,-0.007303403486742925,0.21052631578947367,0.343890678939687,-0.14862311480782486,0.015329876411675977,-2.210054243900559,"HYPEUSD:7,SOLUSD:4,GIGAUSD:4","HYPEUSD:7,SOLUSD:4,GIGAUSD:4",-0.33101220805929454,KILL
15,breadth_thrust_winner,31,-0.15213231768679358,-0.004907494118928825,0.3225806451612903,0.46782436886403134,-0.14351858438353632,0.013274151490477046,-1.8636773186318503,2.935483870967742,31,-0.15213231768679358,-0.004907494118928825,0.3225806451612903,0.46782436886403134,-0.14351858438353632,0.013274151490477046,-1.8636773186318503,"SOLUSD:14,GIGAUSD:5,DOGUSD:4","SOLUSD:14,GIGAUSD:5,DOGUSD:4",-0.33696756740330247,KILL
60,breadth_thrust_winner,23,-0.15852830873370805,-0.006892535162335132,0.2608695652173913,0.375521326129538,-0.18723139072285175,0.012464521314977718,-2.020892547166988,2.1739130434782608,23,-0.15852830873370805,-0.006892535162335132,0.2608695652173913,0.375521326129538,-0.18723139072285175,0.012464521314977718,-2.020892547166988,"GIGAUSD:10,SOLUSD:7,HYPEUSD:6","GIGAUSD:10,SOLUSD:7,HYPEUSD:6",-0.37052969730594,KILL
