pair,interval,strategy,trades_full,net_full,win_full,pf_full,dd_full,mfe_full,trades_recent,net_recent,win_recent,pf_recent,score,verdict,cost_model,side_cost_pct
HYPEUSD,5,freqai_mtf_rsi_thrust,18,0.028346735461857175,0.4444444444444444,1.3029894714769639,-0.06268421938917906,0.009006217535568517,8,-0.0009503630368882243,0.5,0.9690931294198473,0.031334189303399124,KILL,maker_optimistic,0.0003
GIGAUSD,5,freqai_mtf_triple_confluence,4,0.013823331922035775,0.5,1.8449164602198445,-0.015295499999999929,0.010865956601381177,2,0.007653223300069345,0.5,1.5003578372769335,0.02962772558583588,KILL,maker_optimistic,0.0003
HYPEUSD,5,adaptive_quiet_burst,3,0.008659594447971486,0.6666666666666666,2.1727865874157275,0.0,0.007099751563059827,1,0.009276605253718095,1.0,inf,0.028140493946157936,KILL,maker_optimistic,0.0003
DOGUSD,5,freqai_mtf_momentum_accel,11,-0.008887524924804158,0.45454545454545453,0.8370478773462099,-0.02387910343092886,0.013286779902492758,7,0.020811830423185573,0.7142857142857143,1.837789579253096,0.020047864563183523,KILL,maker_optimistic,0.0003
COQUSD,5,freqai_mtf_higher_low_structure,6,0.010196400000000327,0.3333333333333333,1.2073045769493589,-0.012296400000000004,0.016170819223856287,3,0.005098200000000053,0.3333333333333333,1.2073045769493544,0.01976355261853251,KILL,maker_optimistic,0.0003
GIGAUSD,3,adaptive_consensus2,6,0.005626517277799614,0.5,1.182140988566238,-0.010297000000000037,0.009312205395763199,2,0.0016947827731479403,0.5,1.164589955632512,0.010021221715100823,KILL,maker_optimistic,0.0003
COQUSD,5,adaptive_regime_switch,3,-0.007285666456325446,0.3333333333333333,0.6462238294490897,-0.010297000000000037,0.006507962098006785,1,0.013308333543674555,1.0,inf,0.009590384585828095,KILL,maker_optimistic,0.0003
COQUSD,3,adaptive_volume_spike_leader,2,0.019394000000000022,0.5,2.883461202291952,-0.01029699999999982,0.0633903049424156,1,-0.01029699999999989,0.0,0.0,0.008798454986496167,KILL,maker_optimistic,0.0003
COQUSD,5,freqai_mtf_rsi_thrust,2,0.022393099999999944,0.5,2.8211102436485618,-0.012296399999999937,0.02083984179746068,1,-0.012296399999999874,0.0,0.0,0.008714419137443512,KILL,maker_optimistic,0.0003
GIGAUSD,3,freqai_mtf_triple_confluence,6,-0.01283404912504471,0.5,0.6283707318524818,-0.015295500000000052,0.005495298088561047,3,0.01698972246011421,0.6666666666666666,4.878881464835219,0.008163904908207516,KILL,maker_optimistic,0.0003
GIGAUSD,3,adaptive_breakout_trail,2,0.005574050390306673,0.5,1.4533075038471974,0.0,0.013193499577245471,0,0.0,0.0,0.0,0.007421790647638195,KILL,maker_optimistic,0.0003
COQUSD,3,adaptive_quiet_burst,3,0.001154126724773441,0.3333333333333333,1.0560418920449375,-0.010297000000000148,0.007947705133898161,3,0.001154126724773441,0.3333333333333333,1.0560418920449375,0.0032454735167848302,KILL,maker_optimistic,0.0003
GIGAUSD,3,adaptive_volume_spike_leader,2,0.00029571579235554424,0.5,1.028718635753671,-0.010296999999999818,0.009018085171688006,2,0.00029571579235554424,0.5,1.028718635753671,0.000880849947912431,KILL,maker_optimistic,0.0003
GIGAUSD,3,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
DOGUSD,3,freqai_mtf_triple_confluence,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
DOGUSD,3,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
DOGUSD,3,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,3,freqai_mtf_triple_confluence,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,3,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,3,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
COQUSD,3,adaptive_regime_switch,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
HYPEUSD,3,adaptive_breakout_trail,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
HYPEUSD,3,adaptive_pullback_resume,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KILL,maker_optimistic,0.0003
