label,scenario,signals,fills,missed_entries,fill_rate,trades_full,net_full,win_full,avg_full,max_dd,avg_mfe,avg_hold,trades_recent,net_recent,win_recent,avg_recent
baseline_tc15_tighter_volume_cap,baseline_taker_ref,5,5,0,1.0,5,0.07655792414979742,0.8,0.015311584829959484,-0.02115350000000003,0.03350860520477432,8.0,2,0.053097385071346426,1.0,0.026548692535673213
trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_opt_10bps_ttl2,17,1,1,0.058823529411764705,1,0.029391000000000108,1.0,0.029391000000000108,0.0,0.033998288238165496,5.0,0,0.0,0.0,0.0
trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_10bps_ttl1,17,1,1,0.058823529411764705,1,0.02797000000000015,1.0,0.02797000000000015,0.0,0.0332752125121249,5.0,0,0.0,0.0,0.0
trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_10bps_ttl2,17,1,1,0.058823529411764705,1,0.02797000000000015,1.0,0.02797000000000015,0.0,0.0332752125121249,5.0,0,0.0,0.0,0.0
trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_20bps_ttl3,17,1,1,0.058823529411764705,1,0.027970000000000144,1.0,0.027970000000000144,0.0,0.03431055841644538,5.0,0,0.0,0.0,0.0
trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_15bps_ttl2,17,1,1,0.058823529411764705,1,0.02797000000000005,1.0,0.02797000000000005,0.0,0.033792626238970995,5.0,0,0.0,0.0,0.0
trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_fill_now,17,1,1,0.058823529411764705,1,0.027969999999999953,1.0,0.027969999999999953,0.0,0.032241937299612666,5.0,0,0.0,0.0,0.0
trend8__score43__vwapna__closena__compna__hold8_t30_s10,maker_mid_5bps_ttl1,17,1,1,0.058823529411764705,1,0.027969999999999856,1.0,0.027969999999999856,0.0,0.032758316457841545,5.0,0,0.0,0.0,0.0
trend8__score43__vwapna__closena__compna__hold8_t30_s10,taker_ref,17,1,1,0.058823529411764705,1,-0.016168999999999864,0.0,-0.016168999999999864,0.0,0.0,0.0,0,0.0,0.0,0.0
