cost_model,branch,mask,exit,trades_full,net_full,net_recent,win_full,max_dd
maker_mid,giga5_union,trend_t008,score_43__hold8_t30_s10,11.0,0.10889911537153839,0.07385465229309436,0.7272727272727273,-0.011990000000000145
maker_mid,giga5_union,trend_t008,hold8_t30_s10,16.0,0.10281151337615209,0.06186465229309448,0.625,-0.023836239899999914
maker_mid,giga5_union,trend_t009,hold8_t35_s12,16.0,0.08832818181922639,0.042788573442219154,0.6875,-0.027780335855999837
maker_mid,giga5_union,trend_t008,score_43__shared_default,11.0,0.0853953843549319,0.059072105599759686,0.5454545454545454,-0.016985000000000104
maker_mid,giga5_union,trend_t009,hold8_t30_s10,16.0,0.08492731273524384,0.04444442082560501,0.5625,-0.02383623990000025
maker_mid,giga5_union,trend_t008,hold8_t35_s12,16.0,0.0848443676178338,0.038840790067407795,0.6875,-0.027780335855999753
maker_mid,giga5_union,trend_t008,shared_default,16.0,0.08069519221162423,0.04208710559975963,0.5625,-0.03368150977500006
maker_mid,giga5_union,trend_t008,vwap_003__score_43__shared_default,5.0,0.07734745068572785,0.09209196782544612,0.6,-0.00023982052033618423
maker_mid,giga5_union,trend_t008,vwap_0025__hold8_t35_s12,7.0,0.07641163618131686,0.07442442082560471,0.7142857142857143,-0.013988000000000134
maker_mid,coq3_momaccel,base,hold12_t35_s12,8.0,0.07590799999999956,0.023965999999999776,0.5,-0.027780335855999972
maker_mid,coq3_momaccel,base,hold8_t35_s12,8.0,0.07590799999999956,0.023965999999999776,0.5,-0.027780335855999972
maker_mid,giga5_union,trend_t008,vwap_0025__shared_default,7.0,0.07287039517731733,0.08567017947966371,0.5714285714285714,-0.014980801622281869
maker_mid,giga5_union,trend_t008,score_43__hold12_t35_s12,11.0,0.07216590149465013,0.045086105599759736,0.5454545454545454,-0.014993923365685577
maker_mid,giga5_union,trend_t009,vwap_003__hold8_t35_s12,9.0,0.07180165102361755,0.0698144356679054,0.6666666666666666,-0.013988000000000134
maker_mid,giga5_union,trend_t008,score_43__hold8_t35_s12,11.0,0.07173248447707609,0.05282879006740764,0.7272727272727273,-0.013988000000000092
maker_mid,coq3_momaccel,trend_t008,hold12_t35_s12,5.0,0.07091899999999982,0.018977000000000032,0.6,-0.013988000000000075
maker_mid,coq3_momaccel,trend_t008,hold8_t35_s12,5.0,0.07091899999999982,0.018977000000000032,0.6,-0.013988000000000075
maker_mid,coq3_momaccel,trend_t009,hold12_t35_s12,5.0,0.07091899999999982,0.018977000000000032,0.6,-0.013988000000000075
maker_mid,coq3_momaccel,trend_t009,hold8_t35_s12,5.0,0.07091899999999982,0.018977000000000032,0.6,-0.013988000000000075
maker_mid,giga5_union,trend_t008,hold12_t35_s12,16.0,0.0704627093513427,0.031098105599759895,0.5625,-0.02778033585599995
maker_mid,giga5_union,trend_t009,shared_default,16.0,0.06885268455330357,0.04256812872821747,0.5625,-0.03368150977500013
maker_mid,giga5_union,trend_t008,vwap_003__hold8_t35_s12,9.0,0.06785386764880619,0.06586665229309405,0.6666666666666666,-0.013988000000000134
maker_mid,giga5_union,trend_t008,vwap_003__score_43__hold8_t35_s12,5.0,0.06586665229309394,0.07985465229309405,0.8,0.0
maker_mid,coq3_momaccel,base,hold8_t30_s10,8.0,0.06392000000000024,0.019970000000000168,0.5,-0.02383623989999992
maker_mid,giga5_union,trend_t009,vwap_003__shared_default,9.0,0.0627882066515576,0.07558799095390396,0.5555555555555556,-0.016984999999999993
maker_mid,giga5_union,score_43,hold8_t30_s10,21.0,0.062338014986814065,0.07214763062622905,0.47619047619047616,-0.028554053114933413
maker_mid,giga5_union,trend_t008,vwap_003__shared_default,9.0,0.06230718352309976,0.07510696782544612,0.5555555555555556,-0.016984999999999962
maker_mid,coq3_momaccel,trend_t008,hold8_t30_s10,5.0,0.059930000000000205,0.01598000000000013,0.6,-0.011990000000000008
maker_mid,coq3_momaccel,trend_t009,hold8_t30_s10,5.0,0.059930000000000205,0.01598000000000013,0.6,-0.011990000000000008
maker_mid,giga5_union,trend_t009,hold12_t35_s12,16.0,0.058620201693022025,0.031579128728217734,0.5625,-0.027780335855999906
maker_mid,giga5_union,trend_t008,vwap_003__score_43__hold12_t35_s12,5.0,0.05812396782544604,0.07211196782544615,0.6,-0.00023982052033622833
maker_mid,giga5_union,trend_t008,vwap_003__score_43__hold8_t30_s10,5.0,0.0578746522930943,0.06986465229309433,0.8,0.0
maker_mid,giga5_union,score_43,shared_default,20.0,0.05723758847504671,0.07172126346764532,0.4,-0.032467160588218864
maker_mid,coq3_momaccel,score_43,hold12_t35_s12,6.0,0.056930999999999676,0.03795399999999974,0.5,-0.013988000000000018
maker_mid,coq3_momaccel,score_43,hold8_t35_s12,6.0,0.056930999999999676,0.03795399999999974,0.5,-0.013988000000000018
maker_mid,giga5_union,score_43,hold12_t35_s12,20.0,0.05431052389032609,0.05773526346764539,0.4,-0.028772188365646472
maker_mid,giga5_union,trend_t008,vwap_0025__hold12_t35_s12,7.0,0.05364691231703554,0.06569017947966371,0.5714285714285714,-0.014224465910897913
maker_mid,coq3_momaccel,trend_t008,score_43__hold12_t35_s12,3.0,0.05194199999999994,0.032964999999999994,0.6666666666666666,0.0
maker_mid,coq3_momaccel,trend_t008,score_43__hold8_t35_s12,3.0,0.05194199999999994,0.032964999999999994,0.6666666666666666,0.0
maker_mid,coq3_momaccel,trend_t008,shared_default,5.0,0.05122712073320597,-0.017697879266793736,0.4,-0.01768538448252424
maker_mid,coq3_momaccel,trend_t009,shared_default,5.0,0.05122712073320597,-0.017697879266793736,0.4,-0.01768538448252424
maker_mid,coq3_momaccel,score_43,hold8_t30_s10,6.0,0.04794000000000022,0.03196000000000018,0.5,-0.011989999999999959
maker_mid,giga5_union,trend_t008,vwap_0025__hold8_t30_s10,7.0,0.04722215104517324,0.06443442082560501,0.5714285714285714,-0.013513810019212188
maker_mid,giga5_union,vwap_0025,shared_default,23.0,0.04681911867551668,0.10444002609069561,0.391304347826087,-0.08109235046062982
maker_mid,giga5_union,trend_t009,vwap_003__hold12_t35_s12,9.0,0.04656172379127581,0.058604990953903986,0.5555555555555556,-0.014224465910897913
maker_mid,giga5_union,trend_t008,vwap_003__hold12_t35_s12,9.0,0.04608070066281797,0.05812396782544616,0.5555555555555556,-0.014224465910897913
maker_mid,coq3_momaccel,trend_t008,score_43__hold8_t30_s10,3.0,0.043950000000000176,0.027970000000000144,0.6666666666666666,0.0
maker_mid,coq3_momaccel,close_075,hold12_t35_s12,7.0,0.042942999999999565,-0.008999000000000222,0.42857142857142855,-0.02778033585599988
maker_mid,coq3_momaccel,close_075,hold8_t35_s12,7.0,0.042942999999999565,-0.008999000000000222,0.42857142857142855,-0.02778033585599988
maker_mid,giga5_union,trend_t008,vwap_003__hold8_t30_s10,9.0,0.04066238251266259,0.05787465229309434,0.5555555555555556,-0.013513810019212188
maker_mid,coq3_momaccel,close_075,hold8_t30_s10,7.0,0.0359500000000001,-0.007999999999999976,0.42857142857142855,-0.02383623989999987
maker_mid,coq3_momaccel,close_075,shared_default,7.0,0.03497398886269858,-0.03395101113730114,0.42857142857142855,-0.033941464806982624
maker_mid,giga5_union,vwap_0025,hold12_t35_s12,23.0,0.03490105409079593,0.08446002609069563,0.391304347826087,-0.07353861185019711
maker_mid,giga5_union,trend_t008,vwap_003__close_075__hold8_t35_s12,8.0,0.03488886764880615,0.03290165229309401,0.625,-0.013988000000000134
maker_mid,coq3_momaccel,base,shared_default,8.0,0.03423732069702754,-0.03468767930297217,0.375,-0.034653129376033986
maker_mid,giga5_union,vwap_003,shared_default,24.0,0.029834118675516677,0.0874550260906956,0.375,-0.08109235046062982
maker_mid,coq3_momaccel,trend_t008,score_43__shared_default,3.0,0.02523333183432879,-0.000736668165671028,0.3333333333333333,-0.0007366681656710418
maker_mid,giga5_union,trend_t009,vwap_003__hold8_t30_s10,9.0,0.02324215104517312,0.04045442082560488,0.4444444444444444,-0.017062622350485425
maker_mid,giga5_union,vwap_003,hold12_t35_s12,24.0,0.020913054090795916,0.07047202609069562,0.375,-0.07353861185019711
maker_mid,giga5_union,trend_t008,vwap_003__close_075__shared_default,8.0,0.01935218352309979,0.03215196782544616,0.5,-0.016985000000000087
maker_mid,coq3_momaccel,vwap_0025,hold12_t35_s12,2.0,0.018976999999999775,0.018976999999999775,0.5,-0.013988000000000075
maker_mid,coq3_momaccel,vwap_0025,hold8_t35_s12,2.0,0.018976999999999775,0.018976999999999775,0.5,-0.013988000000000075
maker_mid,coq3_momaccel,vwap_003,hold12_t35_s12,2.0,0.018976999999999775,0.018976999999999775,0.5,-0.013988000000000075
maker_mid,coq3_momaccel,vwap_003,hold8_t35_s12,2.0,0.018976999999999775,0.018976999999999775,0.5,-0.013988000000000075
