pair,interval,strategy,trades_full,net_full,win_full,dd_full,avg_mfe_full,trades_recent,net_recent,win_recent,score,verdict,cost_model,side_cost_pct
COQUSD,1,breakout_asymmetric,8,-0.017460776950726786,0.25,-0.03869683588600748,0.0112292185780761,3,0.012691086354041259,0.3333333333333333,-0.0014141978164135078,KILL,taker_like,0.0031
COQUSD,3,breakout_asymmetric,10,-0.02459119392107445,0.3,-0.0676152270663652,0.014276168852948978,4,0.017306305935842814,0.5,-0.0036067758237635344,KILL,taker_like,0.0031
GIGAUSD,5,vwap_reclaim_trend,1,-0.011098523053567844,0.0,0.0,0.0,0,0.0,0.0,-0.011098523053567844,KILL,taker_like,0.0031
COQUSD,1,rsi_oversold_trend,1,-0.013068999999999997,0.0,0.0,0.0,0,0.0,0.0,-0.013068999999999997,KILL,taker_like,0.0031
COQUSD,3,vwap_reclaim_trend,1,-0.013068999999999997,0.0,0.0,0.0,0,0.0,0.0,-0.013068999999999997,KILL,taker_like,0.0031
HYPEUSD,5,breakout_asymmetric,1,-0.013068999999999997,0.0,0.0,0.0,0,0.0,0.0,-0.013068999999999997,KILL,taker_like,0.0031
HYPEUSD,3,breakout_asymmetric,1,-0.013069000000000108,0.0,0.0,0.009155910331088535,0,0.0,0.0,-0.013069000000000108,KILL,taker_like,0.0031
COQUSD,5,macd_trend_long,1,-0.015062800000000043,0.0,0.0,0.020816284864641155,0,0.0,0.0,-0.015062800000000043,KILL,taker_like,0.0031
HYPEUSD,3,macd_trend_long,1,-0.015062800000000043,0.0,0.0,0.010718023749982208,0,0.0,0.0,-0.015062800000000043,KILL,taker_like,0.0031
GIGAUSD,3,bb_squeeze_breakout,14,-0.031091341568904807,0.35714285714285715,-0.06089227222576889,0.008241138017857277,4,0.014103711942395791,0.5,-0.01675780685263705,KILL,taker_like,0.0031
COQUSD,3,atr_squeeze_expand,10,-0.01909571832887824,0.4,-0.03159023777689723,0.014520434273738992,3,0.003734135494766422,0.6666666666666666,-0.017695329409007633,KILL,taker_like,0.0031
