cost_model,pair,interval,strategy,trades_full,net_full,trades_recent,net_recent,score,keep
taker_like,GIGAUSD,5,higher_low_structure,120,-0.5339697619777548,53,-0.14534309992493788,-0.7930485423673261,False
taker_like,GIGAUSD,5,vwap_reclaim_trend,1,-0.011098523053567844,0,0.0,-0.011098523053567844,False
taker_like,GIGAUSD,5,momentum_accel,108,-0.4754820156798103,44,-0.11800489090481847,-0.6875567326293107,False
taker_like,GIGAUSD,5,volume_spike_trend,80,-0.21542416709094092,33,-0.06024669375296754,-0.324618866178189,False
taker_like,GIGAUSD,5,volume_climax_reversal,12,-0.11660707745916687,5,-0.05900273623376173,-0.2645606521127763,False
taker_like,GIGAUSD,5,triple_confluence,30,-0.12113779299432204,13,-0.04035100326540286,-0.19961374364399703,False
taker_like,GIGAUSD,5,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,GIGAUSD,5,breakout_asymmetric,2,-0.008830767552844287,1,-0.013068999999999997,-0.033536624373790284,False
taker_like,GIGAUSD,5,breakout_scalp,100,-0.46099999024890526,42,-0.09299733344528194,-0.656659876425101,False
taker_like,DOGUSD,1,momentum_breakout,10,-0.08919778947778445,1,0.018633621541013,-0.0840875323343069,False
taker_like,DOGUSD,1,momentum_breakout_trail,43,-0.31309548689170064,11,-0.06356761882835216,-0.4483506411404553,False
taker_like,DOGUSD,1,macd_trend_long,1,-0.015062800000000043,1,-0.015062800000000043,-0.03765700000000011,False
taker_like,DOGUSD,1,rsi_momentum_thrust,133,-0.7246258687228476,59,-0.3118010763287715,-1.2513768647880912,False
taker_like,DOGUSD,1,rsi_oversold_trend,0,0.0,0,0.0,0.0,False
taker_like,DOGUSD,1,bb_lower_bounce,8,-0.048398671676718186,3,-0.019547380844731177,-0.09658592978304206,False
taker_like,DOGUSD,1,deep_vwap_pullback,57,-0.39379492125920934,13,-0.10033769060651276,-0.60903962621209,False
taker_like,DOGUSD,1,ema_fast_bounce,106,-0.7620147444770496,50,-0.3791616042809549,-1.426991332720772,False
taker_like,DOGUSD,1,red_streak_reversal,17,-0.07709158822736795,7,-0.041255445156708426,-0.16080794069209847,False
taker_like,DOGUSD,1,bb_squeeze_breakout,27,-0.15355975013163914,11,-0.08312873639664653,-0.3158423573334577,False
taker_like,DOGUSD,1,atr_squeeze_expand,17,-0.09614176445330869,5,-0.01418572485713987,-0.13937923645834885,False
taker_like,DOGUSD,1,quiet_then_burst,57,-0.3296453348426268,24,-0.1447674329345393,-0.5858790906199777,False
taker_like,DOGUSD,1,higher_low_structure,171,-1.005505074273655,69,-0.35714615881300327,-1.610326711604877,False
taker_like,DOGUSD,1,vwap_reclaim_trend,3,-0.022599336604691822,2,-0.009530336604691714,-0.05050261767311049,False
taker_like,DOGUSD,1,momentum_accel,144,-0.8352335412902044,47,-0.13181344658526195,-1.089190729025825,False
taker_like,DOGUSD,1,volume_spike_trend,128,-0.8620544178330083,51,-0.3204411831943983,-1.4138506523032541,False
taker_like,DOGUSD,1,volume_climax_reversal,21,-0.10224399423658681,9,-0.05995492139224734,-0.220768150202746,False
taker_like,DOGUSD,1,triple_confluence,30,-0.11452607422037586,13,-0.05367728952375028,-0.20976335684315764,False
taker_like,DOGUSD,1,dip_buy_confluence,0,0.0,0,0.0,0.0,False
taker_like,DOGUSD,1,breakout_asymmetric,1,0.012729038922258518,0,0.0,0.012729038922258518,False
taker_like,DOGUSD,1,breakout_scalp,130,-0.718825305993661,47,-0.266104964701101,-1.2026170658072992,False
taker_like,DOGUSD,3,momentum_breakout,12,-0.10115752842518033,3,-0.019028742921023634,-0.1576465455687799,False
taker_like,DOGUSD,3,momentum_breakout_trail,44,-0.43478822283179297,13,-0.08460445290297036,-0.6194972357503923,False
taker_like,DOGUSD,3,macd_trend_long,0,0.0,0,0.0,0.0,False
taker_like,DOGUSD,3,rsi_momentum_thrust,115,-0.8825450367446371,42,-0.3158111523382633,-1.4392959712230333,False
taker_like,DOGUSD,3,rsi_oversold_trend,1,-0.0074517078896852995,1,-0.0074517078896852995,-0.01862926972421325,False
taker_like,DOGUSD,3,bb_lower_bounce,13,-0.03893411612229403,7,-0.04387486522959205,-0.11693824659601064,False
taker_like,DOGUSD,3,deep_vwap_pullback,41,-0.22881322453228947,12,-0.10926415571065473,-0.42341733467092113,False
taker_like,DOGUSD,3,ema_fast_bounce,244,-1.8468024452378788,109,-0.8517266950829081,-3.264143557431815,False
taker_like,DOGUSD,3,red_streak_reversal,18,-0.15270079550640592,9,-0.06652993881883151,-0.317475731085028,False
taker_like,DOGUSD,3,bb_squeeze_breakout,21,-0.09043337279903152,7,-0.02766089346270706,-0.14915874830052497,False
taker_like,DOGUSD,3,atr_squeeze_expand,22,-0.11028870346296193,10,-0.06867576485825788,-0.23136060500894418,False
taker_like,DOGUSD,3,quiet_then_burst,47,-0.3302534414956666,19,-0.11084510269051806,-0.5456836322391241,False
taker_like,DOGUSD,3,higher_low_structure,139,-1.031493667531584,58,-0.36186254428861053,-1.6579991432437655,False
taker_like,DOGUSD,3,vwap_reclaim_trend,3,-0.012339132006587539,2,-0.008207404280065389,-0.0325964212466435,False
taker_like,DOGUSD,3,momentum_accel,134,-0.9520934694994344,50,-0.29198214469069517,-1.459237441644017,False
