interval,strategy,trades_full,net_full,avg_full,win_full,pf_full,dd_full,mfe_full,sharpe_full,bars_full,trades_recent,net_recent,avg_recent,win_recent,pf_recent,dd_recent,mfe_recent,sharpe_recent,top_pairs_full,top_pairs_recent,score,verdict
60,leader_rotation_breakout,9,0.023855990238690117,0.00265066558207668,0.3333333333333333,1.3335638608565608,-0.044511153736200446,0.02224489555718851,0.3580076232684206,1.6666666666666667,5,-0.017156602231666818,-0.0034313204463333634,0.2,0.6494940263369922,-0.044511153736200626,0.012441534598794712,-0.378162459514365,"SOLUSD:5,DOGUSD:2,COQUSD:1","SOLUSD:3,GIGAUSD:1,DOGUSD:1",0.0197011631238741,KILL
15,leader_rotation_breakout,13,-0.008018533067560174,-0.0006168102359661673,0.38461538461538464,0.8988363211902405,-0.06453830046742601,0.011829871956675739,-0.14899024348067383,2.8461538461538463,9,-0.016053163940596304,-0.0017836848822884782,0.3333333333333333,0.6733002644487851,-0.033690088174940507,0.012026041824341884,-0.44728761568451314,"GIGAUSD:6,SOLUSD:4,DOGUSD:2","GIGAUSD:5,SOLUSD:3,DOGUSD:1",-0.007588181413261369,KILL
15,dispersion_expansion_leader,57,-0.1794763420613753,-0.0031487077554627247,0.3157894736842105,0.6742047545026457,-0.1998384136453622,0.024170211755433556,-1.3606103438046797,2.719298245614035,24,-0.04015767647309387,-0.0016732365197122446,0.3333333333333333,0.8050892560758144,-0.1218983884851917,0.03332612194648848,-0.4680767662702878,"SOLUSD:20,GIGAUSD:14,COQUSD:13","SOLUSD:10,COQUSD:6,GIGAUSD:5",-0.13931896020906293,KILL
60,leader_laggard_catchup,19,-0.1095025540986263,-0.0057632923209803314,0.21052631578947367,0.42034707874836585,-0.11940044572929685,0.016959078461961763,-1.822932277696868,1.105263157894737,11,-0.08185800075891492,-0.007441636432628629,0.18181818181818182,0.30405284125356075,-0.08025002191000423,0.010704643491952477,-1.9520736156645202,"DOGUSD:7,SOLUSD:5,GIGAUSD:4","SOLUSD:4,GIGAUSD:3,DOGUSD:3",-0.21251887801396738,KILL
30,leader_laggard_catchup,34,-0.1151189807789953,-0.003385852375852803,0.35294117647058826,0.5871214259033667,-0.1564041985706396,0.021138456712188215,-1.4254593264445325,0.9705882352941176,18,-0.11845277884691041,-0.006580709935939467,0.2222222222222222,0.3202854920718371,-0.10896210646209588,0.025048899668238298,-2.30646951954271,"COQUSD:11,GIGAUSD:8,DOGUSD:8","COQUSD:7,SOLUSD:5,GIGAUSD:4",-0.23905274231380624,KILL
30,leader_rotation_breakout,11,-0.13860936484655628,-0.012600851349686935,0.09090909090909091,0.01084326799633593,-0.11701846079354217,0.005779681006084513,-8.01960887344739,2.4545454545454546,6,-0.070564637155623,-0.0117607728592705,0.16666666666666666,0.02107891365375031,-0.05438270715338953,0.0030302718110732187,-4.343119340987172,"DOGUSD:3,GIGAUSD:3,COQUSD:3","DOGUSD:2,GIGAUSD:2,SOLUSD:1",-0.3026524093144647,KILL
30,leader_persistence_trail,53,-0.24968231093989302,-0.004710986998865906,0.2641509433962264,0.5203668933951022,-0.2607870829069575,0.01203317064201093,-2.0902668489303693,2.339622641509434,30,-0.10913893476415126,-0.0036379644921383752,0.3,0.6226406773309872,-0.13522735069997302,0.012820624942604098,-1.1141797908342284,"GIGAUSD:22,SOLUSD:17,COQUSD:8","GIGAUSD:14,SOLUSD:8,COQUSD:6",-0.32829338157542365,KILL
15,leader_persistence_trail,42,-0.22105887904813482,-0.00526330664400321,0.30952380952380953,0.43688818601057244,-0.23757793074034675,0.009661552756816773,-2.115871181561752,3.380952380952381,21,-0.11996612447550026,-0.005712672594071441,0.3333333333333333,0.3617423339077752,-0.1268511725448733,0.008393038734782768,-2.2430631100147784,"GIGAUSD:17,SOLUSD:14,DOGUSD:7","SOLUSD:8,GIGAUSD:7,DOGUSD:5",-0.3381667775770027,KILL
60,dispersion_expansion_leader,26,-0.2314282707134343,-0.008901087335132089,0.15384615384615385,0.2578136246453136,-0.2346241953534364,0.029889157739384088,-3.2778990205720144,1.7307692307692308,9,-0.10078079479293967,-0.011197866088104406,0.1111111111111111,0.14105022806522982,-0.09789674335270149,0.018838314146444865,-3.212239460537167,"SOLUSD:10,GIGAUSD:6,COQUSD:5","DOGUSD:3,SOLUSD:3,GIGAUSD:2",-0.3633784531085639,KILL
60,breadth_thrust_winner,42,-0.22658070305842326,-0.005394778644248173,0.23809523809523808,0.519749411391894,-0.2666125920703893,0.013946059859729368,-1.84342020325415,1.6904761904761905,22,-0.1361922047430203,-0.006190554761046377,0.2727272727272727,0.4187379870866395,-0.17150772822630694,0.013770482652875303,-1.744995190698128,"GIGAUSD:17,SOLUSD:16,DOGUSD:5","GIGAUSD:11,SOLUSD:11",-0.36530321220549516,KILL
