construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio
baseline_mb60,GIGAUSD,2377,1767489300,0.0043283765,2389,1767500100,0.004356453,TIME_LIMIT,0.0033866122436437495,0.02879220419018552,12,52.32317002044326,0.009105663512954417,0.009240009240009263,-0.0009009156989811412,1.435897435897441
baseline_mb60,GIGAUSD,4515,1770123600,0.0026642335999999996,4521,1770129000,0.0026268315,TREND_LOST,-0.017138596315277817,0.007794511712486595,6,144.52386267201737,0.0036694636514113203,0.0003767897513188141,0.007368958604732548,0.9613733905579366
baseline_mb60,GIGAUSD,4732,1770390000,0.0023903873,4733,1770390900,0.00234723244287945,STOP_LOSS,-0.0211535,0.0,1,73.97218122961922,0.015983550227696555,0.014267729752412998,0.09910862290530625,1.070811744386881
baseline_mb60,GIGAUSD,6982,1773698400,0.0021436246999999996,6986,1773702000,0.0022331435392843497,TAKE_PROFIT,0.038660500000000084,0.055222026504919704,4,28.840803318635754,0.005947100175708445,-0.002350728725905139,0.025195776027876995,1.295238095238093
baseline_mb60,GIGAUSD,7068,1773795600,0.0022970989999999995,7073,1773803700,0.0022679475,TREND_LOST,-0.0157905718908935,0.0021335606345221944,5,83.122389061015,0.011976588573089426,0.0,0.014296842530904831,2.8819875776397472
baseline_mb60,GIGAUSD,7845,1774854000,0.0021546588,7857,1774864800,0.0021871986,TIME_LIMIT,0.012002066276108357,0.02754088025445129,12,211.03412962905543,0.006705065188591187,0.0,0.014087153574370674,0.8455284552845495
tc15_or_tc30,GIGAUSD,123,1764684000,0.004625294099999999,129,1764689400,0.0048184486942630484,TAKE_PROFIT,0.03866049999999989,0.05809487876673636,6,66.20829970895986,0.008095666247867797,0.0049643859270450215,0.02745187755193483,1.0187500000000012
tc15_or_tc30,GIGAUSD,224,1764810900,0.0049161931,236,1764821700,0.0049496085,TIME_LIMIT,0.0036970072208921813,0.02213234870697008,12,48.88734693632919,0.006659040478787198,0.0054788961038961265,0.0003072475720982682,0.7001620745542929
tc15_or_tc30,GIGAUSD,1249,1766103300,0.0037917179999999995,1252,1766106900,0.0037232642190869994,STOP_LOSS,-0.02115350000000002,0.0,3,51.66893256432225,0.005906617705869882,0.005803218148245815,-0.0008914036608821743,0.8280871670702197
tc15_or_tc30,GIGAUSD,1485,1766385000,0.0038238171999999994,1490,1766389500,0.0037902138,TREND_LOST,-0.011887920091995867,0.012339188180857729,5,102.3280640550261,0.005786832946815229,0.006535947712418261,0.008815145768017712,0.9648711943793904
tc15_or_tc30,GIGAUSD,1646,1766583000,0.0037335381999999994,1650,1766586600,0.003698499,TREND_LOST,-0.012484984998948014,0.0011950594211144222,4,35.38812187317868,0.004768009790524877,0.0048128342245988736,0.011138112620040098,1.0783699059561103
tc15_or_tc30,GIGAUSD,1703,1766681100,0.0039161024,1704,1766682000,0.0038454030453215996,STOP_LOSS,-0.021153499999999992,0.0,1,26.469746535444507,0.004809192159135712,0.022086824067022046,-0.0040672875561431916,1.2885906040268476
tc15_or_tc30,GIGAUSD,2269,1767379500,0.0042180355,2270,1767380400,0.00414188519610075,STOP_LOSS,-0.021153500000000013,0.0,1,75.91873073119555,0.010180378013098951,0.021878715814506552,0.024624931991806334,1.0505494505494486
tc15_or_tc30,GIGAUSD,2756,1767897900,0.0046232879,2760,1767902400,0.0045588237,TREND_LOST,-0.0170433670137653,0.0,4,84.24446770092473,0.007392392197926435,0.002169197396963223,0.007992744220636979,0.6484517304189518
tc15_or_tc30,GIGAUSD,2967,1768187700,0.004608241399999999,2968,1768188600,0.0045448671,TREND_LOST,-0.01685238285042954,0.0,1,34.59335355797164,0.006234114946333843,0.003913043478260823,0.006780963866754418,0.764601769911496
tc15_or_tc30,GIGAUSD,2973,1768197600,0.0046112507,2977,1768203000,0.0045588237,TREND_LOST,-0.014469366666618204,0.0,4,55.507338270388054,0.005205615604625715,0.001737619461337821,0.006156004179885208,0.6365280289330956
tc15_or_tc30,GIGAUSD,3953,1769430600,0.0031818331999999994,3954,1769431500,0.003314708145348599,TAKE_PROFIT,0.03866049999999988,0.04656648877760175,1,56.085238215406875,0.005585816544352752,0.006267627702914328,0.0008807033710379607,0.8136557610241805
tc15_or_tc30,GIGAUSD,4444,1770033600,0.0024345236999999994,4451,1770039900,0.002442405,TREND_LOST,0.0001373067471064195,0.028127185617457983,7,126.46763202316679,0.0074447782901854685,0.009414654113794522,0.02023169650353491,0.9863013698630201
tc15_or_tc30,GIGAUSD,4500,1770109200,0.0026351436999999998,4512,1770120900,0.0026228439,TIME_LIMIT,-0.007767601239355465,0.0,12,396.38433165597417,0.002442605328962947,0.007216103304215693,-0.003513840190358028,0.7432762836185786
tc15_or_tc30,GIGAUSD,4515,1770123600,0.0026642335999999996,4521,1770129000,0.0026268315,TREND_LOST,-0.017138596315277817,0.007794511712486595,6,144.52386267201737,0.0036694636514113203,0.0003767897513188141,0.007368958604732548,0.9613733905579366
tc15_or_tc30,GIGAUSD,4713,1770370200,0.0022760339,4725,1770382800,0.00237108221368095,TAKE_PROFIT,0.03866050000000003,0.04611798620398394,12,40.92228249541571,0.02196962621179078,-0.005762411347517726,0.1309941777031398,1.0214285714285674
tc15_or_tc30,GIGAUSD,4727,1770384600,0.0023592911999999995,4732,1770390000,0.0023417181,TREND_LOST,-0.010548465878226266,0.010049119837348014,5,33.27434631412387,0.018567588743883125,0.013859722805543907,0.13179420356906207,1.2228796844181449
tc15_or_tc30,GIGAUSD,5274,1771068600,0.0023021145,5280,1771074900,0.0022779165000000002,TREND_LOST,-0.01361120611072976,0.006900395267047046,6,96.82891815066812,0.009299261384582723,-0.000872219799389562,0.0185083664618541,0.6883116883116893
tc15_or_tc30,GIGAUSD,5343,1771146000,0.0025097561999999998,5345,1771149600,0.0024644463164433,STOP_LOSS,-0.02115349999999997,0.004480036746198707,2,83.54002720326018,0.005737711142647974,-0.0008003201280513267,0.009630343854095067,0.6648793565683683
tc15_or_tc30,GIGAUSD,5460,1771282800,0.0023743377,5468,1771290000,0.0023965476,TREND_LOST,0.006254145368622123,0.023864465446511655,8,175.67554532777572,0.009320655111240883,0.005879882402351823,0.025249484725129168,1.3984575835475503
