construction,pair,entry_bar,entry_ts,entry_price,exit_bar,exit_ts,exit_price,exit_reason,pnl_pct,mfe_pct,bars_held,signal_score,trend_strength,pullback_depth_pct,distance_from_vwap,compression_ratio,candidate,cost_model
tc15_tighter_volume_cap,GIGAUSD,511,1770370200,0.0022760339000000005,523,1770382800,0.0023710822136809506,TAKE_PROFIT,0.038660500000000014,0.046117986203983746,12,40.92228249541571,0.02196962621179078,-0.005762411347517726,0.1309941777031398,1.0214285714285674,baseline_tc15_tighter_volume_cap,baseline_taker_ref
tc15_tighter_volume_cap,GIGAUSD,1141,1771146000,0.0025097562,1143,1771149600,0.0024644463164433003,STOP_LOSS,-0.021153499999999964,0.004480036746198533,2,83.54002720326018,0.005737711142647974,-0.0008003201280513267,0.009630343854095067,0.6648793565683683,baseline_tc15_tighter_volume_cap,baseline_taker_ref
tc15_tighter_volume_cap,GIGAUSD,1850,1772037000,0.0022248758,1861,1772046900,0.0022450188,TREND_LOST,0.005953539078450944,0.029270937281083195,11,66.76339219954748,0.011703816571990842,0.0004508566275924855,0.033234486720168065,0.39493670886076365,baseline_tc15_tighter_volume_cap,baseline_taker_ref
tc15_tighter_volume_cap,GIGAUSD,3481,1774692000,0.0018296544000000004,3484,1774694700,0.0019060616825712002,TAKE_PROFIT,0.03866049999999991,0.05484401862996624,3,37.255891511776454,0.008194561322655182,-0.005512679162072782,-0.03963118915989884,0.7239488117001839,baseline_tc15_tighter_volume_cap,baseline_taker_ref
tc15_tighter_volume_cap,GIGAUSD,3640,1774850400,0.0021436247,3652,1774862100,0.0021812171999999997,TIME_LIMIT,0.014436885071346517,0.032830047162639896,12,36.867825043121265,0.004922413531219063,0.003267973856208977,0.02013646582476686,0.4840764331210142,baseline_tc15_tighter_volume_cap,baseline_taker_ref
ema_reclaim__flat__quick,GIGAUSD,401,1770109500,0.0026277577985932823,401,1770109500,0.002613384,TREND_LOST,-0.006469986085086377,0.001994933250516437,0,12.522971432267077,0.0036674766601313686,0.002278769464489149,0.003131741488945849,0.4398625429553271,ema_reclaim__flat__quick,maker_mid_passive_0.0010
ema_reclaim__flat__quick,GIGAUSD,1608,1770987300,0.0021671649999999995,1614,1770992400,0.002183814,TIME_LIMIT,0.006682386897167741,0.012843968964061512,6,10.387969013182026,0.00423604372557208,0.0045998160073597175,0.014287861630788023,0.6929133858267704,ema_reclaim__flat__quick,maker_mid_passive_0.0010
ema_reclaim__flat__quick,GIGAUSD,4215,1773331200,0.0019967331110205882,4221,1773338100,0.0020019960000000002,TIME_LIMIT,0.0016357498407596422,0.0066442975809775364,6,13.413983521415322,0.00793556281965878,0.008457711442786113,0.018850223359707697,1.180616740088114,ema_reclaim__flat__quick,maker_mid_passive_0.0010
ema_reclaim__flat__runner,GIGAUSD,401,1770109500,0.0026277577985932823,401,1770109500,0.002613384,TREND_LOST,-0.006469986085086377,0.001994933250516437,0,12.522971432267077,0.0036674766601313686,0.002278769464489149,0.003131741488945849,0.4398625429553271,ema_reclaim__flat__runner,maker_mid_passive_0.0010
ema_reclaim__flat__runner,GIGAUSD,1608,1770987300,0.0021671649999999995,1616,1770993000,0.0021848130000000003,TIME_LIMIT,0.007143357796937822,0.012843968964061512,8,10.387969013182026,0.00423604372557208,0.0045998160073597175,0.014287861630788023,0.6929133858267704,ema_reclaim__flat__runner,maker_mid_passive_0.0010
